"id","submitdate","lastpage","startlanguage","seed","datenschutz","consentInfo[yes]","on","vignetteVersionA","resourcePerson[va4]","resourcePerson[eos6]","resourcePerson[eos1]","resourcePerson[eos2]","resourcePerson[va3]","resourcePerson[eos3]","resourcePerson[eos5]","resourcePerson[va1]","resourcePerson[va2]","resourcePerson[eos4]","resourceInfra[peer1]","resourceInfra[peer2]","resourceInfra[formal1]","resourceInfra[formal2]","resourceInfra[train1]","resourceInfra[train2]","resourceInfra[incent1]","resourceInfra[incent2]","experience","introText","headerExpectations","implicates[self1]","implicates[self2]","implicates[self3]","implicates[self4]","challenge[1]","challenge[2]","challenge[3]","challenge[4]","threat[1]","threat[2]","threat[3]","infotext","engage[cognitive01]","engage[cognitive02]","engage[cognitive03]","engage[cognitive04]","engage[cognitive05]","engage[cognitive06]","engage[cognitive07]","engage[cognitive08]","engage[cognitive09]","engage[cognitive10]","gender","age","country","careerStage","engageBehavioral","downloadText","donation","interviewtime","groupTime1171","datenschutzTime","consentInfoTime","groupTime1172","onTime","groupTime1170","vignetteVersionATime","resourcePersonTime","groupTime1173","resourceInfraTime","experienceTime","groupTime1174","introTextTime","groupTime1175","headerExpectationsTime","implicatesTime","challengeTime","threatTime","groupTime1176","infotextTime","groupTime1177","engageTime","groupTime1178","genderTime","ageTime","countryTime","careerStageTime","engageBehavioralTime","groupTime1181","downloadTextTime","groupTime1180","donationTime"
"15",,,"en","1112560478",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16",,"2","en","405266663","","1","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.59","28.83",,,"8.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17",,"2","en","1875590602","","1","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.17","6.97",,,"2.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18","1980-01-01 00:00:00","11","en","1198075900","","1","","","4","5","5","4","3","5","4","4","4","2","5","4","3","3","2","2","5","5","0","","","5","4","4","5","6","5","4","5","5","6","4","","3","5","5","3","5","2","5","3","3","5","AO02","29","Germany","1","1","","AO01","1143.94","20.5",,,"14.5",,"310.33",,,"94.84",,,"35.7",,"54.18",,,,,"460.95",,"68.22",,"29.26",,,,,,"39.68",,"15.78",
"19","1980-01-01 00:00:00","11","en","14843860","","1","","","2","5","4","5","2","4","5","2","2","2","5","4","3","3","2","2","5","5","0","","","5","5","5","5","5","5","3","4","2","3","3","","3","2","3","3","4","3","4","3","5","4","AO02","33","Germany","2","1","","AO01","558.76","5.74",,,"2.92",,"96.29",,,"70.63",,,"34.82",,"44.57",,,,,"199.3",,"48.71",,"24.44",,,,,,"13.12",,"18.22",
"20","1980-01-01 00:00:00","11","en","1728062118","","1","","","4","6","5","5","3","5","5","2","3","1","6","6","6","5","4","4","6","6","1","","","6","5","5","6","5","4","4","5","3","2","3","","3","5","5","2","4","4","5","2","4","4","AO02","30","Germany","1","0",,"AO01","635.25","43.28",,,"9.08",,"185.54",,,"65.05",,,"19.14",,"87.52",,,,,"117.48",,"76.03",,"24.25",,,,,,,,"7.88",
"21",,,"en","1558983152",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22",,"9","en","2105607114","","1","","","2","5","3","4","3","3","4","3","3","3","6","6","3","3","4","4","3","3","1","","","5","4","4","5","5","4","1","5","3","3","4","","3","5","5","6","5","2","5","2","2","5","AO02","30","Germany","1","1",,,"661.42","70.77",,,"7.98",,"215.98",,,"48.77",,,"6.79",,"38.86",,,,,"191.89",,"63.93",,"16.45",,,,,,,,,
"23",,"2","en","5321115","","1","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.1","12.44",,,"2.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","1980-01-01 00:00:00","11","en","2046691592","","1","","","1","6","6","5","1","6","6","1","1","1","6","6","5","4","4","4","5","5","6","","","5","6","6","6","4","5","4","4","1","1","1","","4","5","5","5","5","3","5","3","2","6","AO01","35","Germany","2","0",,"AO01","363.47","13.06",,,"4.62",,"82.15",,,"57.66",,,"7.76",,"50.24",,,,,"62.18",,"52.82",,"21.89",,,,,,,,"11.09",
"25","1980-01-01 00:00:00","11","en","1486782556","","1","","","4","4","4","3","3","4","5","4","4","2","6","4","4","4","2","3","5","5","0","","","5","3","3","4","5","4","5","5","5","3","4","","2","5","6","4","4","2","5","2","3","2","AO02","28","Germany","1","0",,"AO02","835.29","34.27",,,"10.26",,"177.88",,,"68.53",,,"19.55",,"73.73",,,,,"334.23",,"62.82",,"40.3",,,,,,,,"13.72",
"26",,"2","en","1093554624","","1","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"156.59","79.68",,,"76.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27","1980-01-01 00:00:00","11","en","1530881582","","1","","","1","6","6","6","1","6","6","2","1","1","6","6","1","4","1","1","6","6","2","","","6","6","6","6","6","6","6","6","2","1","2","","1","6","6","4","5","1","5","2","2","6","AO02","","Deutschland","1","1","","AO01","1468.13","77.41",,,"13.07",,"314.28",,,"231.21",,,"27.48",,"99.54",,,,,"368.6",,"176.14",,"60.25",,,,,,"58.31",,"41.84",
"28",,"9","en","930393404","","1","","","4","3","4","5","2","5","6","2","3","2","6","4","2","2","2","4","5","4","3","","","6","6","6","5","5","2","3","4","4","4","3","","4","5","3","5","6","4","4","3","2","4","AO01","34","Germany","2","1",,,"872.04","37.8",,,"8.63",,"172.36",,,"94.76",,,"16.46",,"49.3",,,,,"405.59",,"63.9",,"23.24",,,,,,,,,
"29","1980-01-01 00:00:00","11","en","1568675809","","1","","","6","6","6","4","5","6","6","6","6","6","2","1","1","1","1","1","1","1","0","","","6","6","6","6","6","2","3","4","5","5","3","","6","6","6","6","6","4","6","5","5","6","AO02","28","germany","1","1","","AO01","533.16","6.94",,,"4.67",,"132.84",,,"50.47",,,"7.89",,"78.51",,,,,"49.76",,"64.87",,"50.71",,,,,,"12.65",,"73.85",
"30","1980-01-01 00:00:00","11","en","209682342","","1","","","2","3","4","3","1","3","4","2","2","1","2","2","1","2","1","2","4","4","2","","","5","6","6","6","6","4","4","6","2","2","2","","3","5","5","2","4","1","5","2","2","6","AO02","29","Germany","1","1","","AO01","1225.03","44.9",,,"11.99",,"292.31",,,"306.49",,,"25.22",,"192.19",,,,,"181.01",,"100.25",,"21.42",,,,,,"11.65",,"37.6",
"31",,,"en","1222237776",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
